"","t501","t502","MGT","Pmax","t50f1","t50f2","MGTf","Pmaxf"
"141",4.875,4.75,6.3,0.8,5.38673424370428,6.14659508551054,5.47914617036275,0.84740699106442
"142",4.58333333333333,4.5,5.70833333333333,0.96,4.62603251242474,4.6975154994838,4.67014344524774,0.972484421548288
"143",4.375,4.3125,4.73913043478261,0.92,3.89478984266916,4.07528536228614,3.95534869236949,0.938510186392517
"144",4.75,4.625,5.69565217391304,0.92,4.76980912102233,4.95834684697416,4.81735570687651,0.934688799878542
"145",4.5,4.375,5.43478260869565,0.92,4.3964304156487,4.57104939713323,4.43001349563336,0.925845499663278
"146",4.8,4.7,5.56521739130435,0.92,4.68855692195428,4.83910769438321,4.70949329637457,0.921755236864495
"147",5.1,5,5.625,0.96,4.83826265501031,4.90755000031983,4.88362528873482,0.97422357489428
"148",4.83333333333333,4.66666666666667,5.36363636363636,0.88,4.54516731371472,4.83018294541888,4.57726348085099,0.885272294673253
"149",6.14285714285714,6.07142857142857,6.28571428571429,0.84,5.58344351290625,6.06364465289843,5.62409993693356,0.852964596204597
"150",5,4.83333333333333,5.92,1,4.74995150463662,4.74995150463662,4.8189074811534,1
"151",4.375,4.25,4.66666666666667,0.96,3.94774209571377,4.02052959335832,3.99003264519022,0.969165496273234
"152",3.78571428571429,3.71428571428571,4.83333333333333,0.96,3.8325065178107,3.90550316853154,3.87274753294618,0.967881707750759
"153",3.75,3.6875,4.52380952380952,0.84,3.69034354162901,3.94798278928185,3.7050313287544,0.840281379825144
"154",4.375,4.25,5.1,0.8,4.33866910617976,4.76723748837975,4.35802361297229,0.801005349792813
"155",4.38888888888889,4.33333333333333,5,0.88,4.14076074375789,4.4247171473478,4.17588131040887,0.885717927981009
"156",5.33333333333333,5.25,6.04347826086957,0.92,5.18951578903743,5.36557821199666,5.21816210684941,0.925373835136918
"157",4.41666666666667,4.33333333333333,5.20833333333333,0.96,4.33460916966486,4.3877874775763,4.39530131463336,0.98174076587567
"158",4.1,4,5,0.88,3.93285989774615,4.22351778532343,3.97266426844435,0.887256439397419
"159",5.33333333333333,5.25,6.23529411764706,0.68,5.30356771810453,6.54104018531912,5.33411474684166,0.684908547220644
"160",4.25,4.125,4.80952380952381,0.84,4.03217578219159,4.50123056814518,4.08489554426982,0.853287896016604
"161",4.91666666666667,4.83333333333333,5.31818181818182,0.88,4.70087666074121,4.96213380090626,4.72588145049318,0.882866677490808
"162",5.16666666666667,5,5.77777777777778,0.72,4.9805544654406,6.04582397359534,5.02008565454698,0.728339264002878
"163",3.92857142857143,3.85714285714286,5.6,0.8,4.29771302818646,5.01879860580319,4.37007962871486,0.824621620976523
"164",4.1,4,4.86363636363636,0.88,4.03832845021719,4.32395527509487,4.07503403584921,0.886166391636546
"165",4.25,4.16666666666667,5.35,0.8,4.27079464506095,4.84225559991256,4.30699489578261,0.805857885438573
"166",4.4,4.3,5.38095238095238,0.84,4.39809208254776,4.78868065950494,4.42751700053009,0.843789128084029
"167",4.4,4.3,5.47619047619048,0.84,4.44263393811274,4.90795955353284,4.48858712059161,0.851240904785629
"168",4.66666666666667,4.5,5.52173913043478,0.92,4.51963544827011,4.69477135034621,4.5524500230225,0.925773769502524
"169",4.4,4.3,5.23809523809524,0.84,4.19794920001398,4.65924486543291,4.2455535153499,0.851245845255022
"170",3.875,3.8125,5.30434782608696,0.92,4.1896286602105,4.37352209349549,4.23657477750783,0.931923723487055
"171",5,4.875,5.65217391304348,0.92,4.78729187863277,4.97291476803274,4.84344426761387,0.940496345064022
"172",4.42857142857143,4.35714285714286,5.21739130434783,0.92,4.42948147283194,4.55991353986945,4.44564276580642,0.92064123931644
"173",4.1,4,4.9,0.8,3.94941234980838,4.5110391284982,3.98690685263425,0.805740943900637
"174",4.5,4.33333333333333,5.54545454545455,0.88,4.48403316734931,4.80319252932847,4.5311504367362,0.89258299376301
"175",4.66666666666667,4.5,5.14285714285714,0.84,4.41384623438597,4.91945519508084,4.47869407171003,0.861954654764353
"176",5,4.5,5.52380952380952,0.84,4.54409357845142,5.05521984729931,4.61075867863336,0.863881367193005
"177",4.25,4.125,5.42857142857143,0.84,4.41769652562441,4.87960454880652,4.46288241640799,0.850755821726526
"178",4.64285714285714,4.57142857142857,4.86363636363636,0.88,4.28766926412459,4.55197103242956,4.31587475575662,0.883385799789697
"179",4.5,4.25,5,0.84,4.20154790218634,4.69162017133653,4.26083319440969,0.857558783092968
"180",5.25,5.125,6.04761904761905,0.84,5.11466286242084,5.59574151515819,5.15897030982215,0.853037408575186
"181",3.875,3.75,4.81818181818182,0.88,3.71938909557515,4.01287346454041,3.76333117961655,0.888598447496202
"182",5,4.875,5.52380952380952,0.84,4.83445214391059,5.33384013212172,4.88871175594197,0.857788958823573
"183",4.57142857142857,4.5,5.57894736842105,0.76,4.64822402845567,5.20291088287458,4.66628830472264,0.760879136896888
"184",4.57142857142857,4.42857142857143,6,0.88,5.02485413256685,5.31567577883457,5.12380070505061,0.932497034180066
"185",4.58333333333333,4.5,5.2,0.8,4.46557590480215,5.05360071669011,4.50269309366752,0.806658316670138
"186",4.75,4.6875,5.6,1,4.71712957351967,4.71712957351967,4.75349698656192,1
"187",4.07142857142857,4,4.33333333333333,0.72,3.46265644787135,4.30140247609897,3.49514582165552,0.723073313937712
"188",4.3,4.2,4.91666666666667,0.96,4.05728878673288,4.13117909546057,4.09695656845887,0.968159986298804
"189",5.1,5,5.77272727272727,0.88,4.83992260421593,5.17281166147685,4.89441831752735,0.898822292560846
"190",4.1,4,4.40909090909091,0.88,NA,NA,NA,NA
"191",4.66666666666667,4.5,5.91304347826087,0.92,4.83048379804213,4.96519559806606,4.91896336874473,0.96457710194576
"192",4.3125,4.25,4.5,0.8,3.86287351783437,4.41785293631278,3.9001448360006,0.805507003239347
"193",4.6,4.5,5.47619047619048,0.84,4.50290749266772,4.95528529582867,4.54452753014361,0.849226988019584
"194",5,4.875,5.91304347826087,0.92,4.95186199646263,5.14107323795906,4.99828442204642,0.934856972028166
"195",4.1,4,5.04166666666667,0.96,3.89762761193492,3.96766551926916,3.94512859396336,0.971728355298724
"196",4.1,4,4.68181818181818,0.88,4.08863528519607,4.33615456989385,4.11406612080361,0.882328965811714
"197",5,4.875,5.47368421052632,0.76,4.82567649412886,5.55507929396911,4.85624451924325,0.764493390574532
"198",4.5,4,5.1,0.8,4.25093169788467,4.80164784665867,4.28433429646229,0.804762398139315
"199",5.07142857142857,5,5.63636363636364,0.88,4.79164302207021,5.10638588189542,4.83276213197665,0.890389440949969
"200",4.625,4.5,5.63636363636364,0.88,4.76775717066745,5.09755711073048,4.81945089484774,0.896615010828778
"201",4.14285714285714,4.07142857142857,4.47619047619048,0.84,3.85158105674453,4.12311931691678,3.86723001897117,0.840389875997442
"202",4.75,4.625,5.73913043478261,0.92,4.73961116796637,4.92569165698688,4.78013011640369,0.93032098923062
"203",4.75,4.66666666666667,5.27272727272727,0.88,4.62936459083392,4.89745430456204,4.65635493757088,0.88344404115468
"204",4,3.92857142857143,5.10526315789474,0.76,4.30727003251025,5.16138749654367,4.35624937329006,0.771166311764248
"205",4.5,4.41666666666667,5.21052631578947,0.76,NA,NA,NA,NA
"206",4.75,4.66666666666667,5.90909090909091,0.88,4.92256979301236,5.2486119721378,4.96895822260271,0.894051834351042
"207",5.5,5.25,6.47368421052632,0.76,5.57662292578933,6.59341591212706,5.64625381677883,0.791131217229699
"208",4.375,4.25,5.18181818181818,0.88,4.33436786857755,4.62542844847027,4.37014770991315,0.886400942090655
"209",4.83333333333333,4.66666666666667,5.59090909090909,0.88,4.58117870439286,4.91159346177088,4.63710501448735,0.898297865316111
"210",4.58333333333333,4.5,5.68181818181818,0.88,4.69576306523214,5.02941257127947,4.75551056477846,0.901422920849808
"211",4.7,4.6,5.18181818181818,0.88,4.39796186356545,4.71946739165335,4.44803791856232,0.893909091806376
"212",5.08333333333333,5,5.13636363636364,0.88,4.37802780988893,4.66944218281576,4.41353984415408,0.886382110067092
"213",4.6,4.5,5.32,1,4.28984163303919,4.28984163303919,4.339407491195,1
